title,artist,link
Untitled (2002),Grace Paul,https://collections.ed.ac.uk/art/record/99934?highlight=*:*
Sampler (1932),Patty Mitchell,https://collections.ed.ac.uk/art/record/100013?highlight=*:*
Three Views of a Seated Female Nude (1959),William Mackay,https://collections.ed.ac.uk/art/record/21163?highlight=*:*
Standing Male Nude Leaning on Plinth (1959),James C. Y. Gavin,https://collections.ed.ac.uk/art/record/20876?highlight=*:*
Cape May (1983),G.M. L.,https://collections.ed.ac.uk/art/record/21975?highlight=*:*
Portrait of a Man (1939-1940),Robert A Campbell,https://collections.ed.ac.uk/art/record/21127?highlight=*:*
Harbour at Night,Derek McGuire,https://collections.ed.ac.uk/art/record/21511?highlight=*:*
Untitled (1962),Paresh C. Chakraborty,https://collections.ed.ac.uk/art/record/112307?highlight=*:*
Untitled (1967),Gwen Mackenzie,https://collections.ed.ac.uk/art/record/111034?highlight=*:*
My Boots Are Wet from the grass (2006),Becky Campbell,https://collections.ed.ac.uk/art/record/99962?highlight=*:*
Landscape (1957),Sheena McEwan,https://collections.ed.ac.uk/art/record/21010?highlight=*:*
Standing Female Nude (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/21329?highlight=*:*
Green Landscape (Circa 1967),Helen Pollock,https://collections.ed.ac.uk/art/record/21436?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20719?highlight=*:*
Circus,Margaret A Leake,https://collections.ed.ac.uk/art/record/21012?highlight=*:*
Nabucco (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22031?highlight=*:*
For Peter (JUN 2002),Jeremy Mitchell,https://collections.ed.ac.uk/art/record/21845?highlight=*:*
Gem cabinet 6 (of 6) containing 43 medallions (Unknown),Unknown,https://collections.ed.ac.uk/art/record/20620?highlight=*:*
Still Life and Reflected Portrait (20 OCT 1962),John C Mark Jones,https://collections.ed.ac.uk/art/record/99258?highlight=*:*
Untitled - Portrait of Girl in Glasses (1965),Laura McPherson,https://collections.ed.ac.uk/art/record/99389?highlight=*:*
Study for Composition - The Long Journey (19 APR 1961),John Picking,https://collections.ed.ac.uk/art/record/111039?highlight=*:*
Untitled - The Magi (1963),Monika L I Uecker,https://collections.ed.ac.uk/art/record/99444?highlight=*:*
Doric Order (abacus and capital) of the Parthenon,NA,https://collections.ed.ac.uk/art/record/20638?highlight=*:*
Standing Male Nude (1930-1931),John McNairn,https://collections.ed.ac.uk/art/record/21140?highlight=*:*
Untitled,Jean M. A. Conacher,https://collections.ed.ac.uk/art/record/112353?highlight=*:*
Standing Boxer (1964),John Bellany,https://collections.ed.ac.uk/art/record/20778?highlight=*:*
Untitled (Mar 1963),John Bellany,https://collections.ed.ac.uk/art/record/21535?highlight=*:*
Portrait of a Man (1957),Rupert F C Cracknell,https://collections.ed.ac.uk/art/record/21362?highlight=*:*
Man Against Yellow Wall (1985-1986),Robbie Bushe,https://collections.ed.ac.uk/art/record/21520?highlight=*:*
Portrait of a Woman (1957),Norman E Kirkpatrick,https://collections.ed.ac.uk/art/record/21021?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,https://collections.ed.ac.uk/art/record/21151?highlight=*:*
Portrait of a Woman (02 NOV 1953),Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/21407?highlight=*:*
Untitled - Circus Rider and Horse (1963),Jean M. Marshall,https://collections.ed.ac.uk/art/record/99364?highlight=*:*
Jacobean fragment (Jacobean?),Unknown,https://collections.ed.ac.uk/art/record/100011?highlight=*:*
Untitled (1964),Helen Cargill,https://collections.ed.ac.uk/art/record/22484?highlight=*:*
Portrait of a Woman (1958),Andrew Smith,https://collections.ed.ac.uk/art/record/21148?highlight=*:*
Portrait of a Woman (1963),Roger Cameron,https://collections.ed.ac.uk/art/record/21319?highlight=*:*
Untitled - Jousting Match (1965-1966),James B. Thomson,https://collections.ed.ac.uk/art/record/99447?highlight=*:*
Portrait of a Woman (1966),Isobel T Johnstone,https://collections.ed.ac.uk/art/record/21404?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21984?highlight=*:*
Untitled - Two Sitting Nude Women (1983-1984),Robert Maclaurin,https://collections.ed.ac.uk/art/record/99427?highlight=*:*
Untitled (1968),Anne Lynch,https://collections.ed.ac.uk/art/record/22492?highlight=*:*
Standing Male Nude,R Hardie,https://collections.ed.ac.uk/art/record/21038?highlight=*:*
Untitled - Country Houses and Fields (1963),Helen Wishart,https://collections.ed.ac.uk/art/record/99451?highlight=*:*
Diddly Doodly (2006),John Brown,https://collections.ed.ac.uk/art/record/99953?highlight=*:*
Frieze from the Temple of Athena Nike (far right) (1827),NA,https://collections.ed.ac.uk/art/record/20628?highlight=*:*
Seated Female Nude (1953),Lilias Stirling,https://collections.ed.ac.uk/art/record/20944?highlight=*:*
Untitled (1968),Sheila Wardrope,https://collections.ed.ac.uk/art/record/22495?highlight=*:*
Untitled,Jean M. A. Conacher,https://collections.ed.ac.uk/art/record/112354?highlight=*:*
Untitled (1971),Alan Brown,https://collections.ed.ac.uk/art/record/22020?highlight=*:*
Seated Female Nude (1954),Ruth Illingworth,https://collections.ed.ac.uk/art/record/20935?highlight=*:*
Portrait of a Man,Eric Fleming,https://collections.ed.ac.uk/art/record/21521?highlight=*:*
Opuntia Lencotricha (1993-1994),Jane Watt,https://collections.ed.ac.uk/art/record/99457?highlight=*:*
Still Life in White and Grey,David Giblin,https://collections.ed.ac.uk/art/record/21519?highlight=*:*
Man with Concrete Jungle Record,Garry Campbell,https://collections.ed.ac.uk/art/record/21426?highlight=*:*
Portrait of a Man with Beard (18 JAN 1957),R Wright,https://collections.ed.ac.uk/art/record/20905?highlight=*:*
Volterra (Circa 1920),William Crozier 1893-1930,https://collections.ed.ac.uk/art/record/21179?highlight=*:*
Untitled (1969),James Fleming,https://collections.ed.ac.uk/art/record/22490?highlight=*:*
Standing Female Nude (31 MAR 1954),John P Busby,https://collections.ed.ac.uk/art/record/21432?highlight=*:*
Untitled (Unknown),David C Duke,https://collections.ed.ac.uk/art/record/21983?highlight=*:*
La Messe de Minuit - Église St Eustache (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99342?highlight=*:*
Untitled (1961),Paresh C. Chakraborty,https://collections.ed.ac.uk/art/record/112305?highlight=*:*
Untitled - Life Drawing of a Bearded Man in Brown Jacket (1967),Isobel T Johnstone,https://collections.ed.ac.uk/art/record/99252?highlight=*:*
